"","pathway","pval","padj","log2err","ES","NES","size"
"39","ALONSO_METASTASIS_EMT_UP",0.0173676561658301,0.0490796175437063,0.352487857583619,0.513684225712775,1.62405455339498,32
"40","ALONSO_METASTASIS_NEURAL_UP",0.33206106870229,0.491592818664853,0.0995791200495904,0.409905870047127,1.10547650271437,16
"41","ALONSO_METASTASIS_UP",0.00706287782973617,0.0238449098897176,0.407017918923954,0.354740227956445,1.50242101837808,180
"42","ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION",2.53767036999755e-25,5.99803768652621e-23,1.30309315086572,0.739903757358286,2.95268816353502,118
"43","AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53",0.0401095910868809,0.0957230870545813,0.321775918075361,0.365089069639043,1.41354798249024,96
"44","AMIT_DELAYED_EARLY_GENES",8.73825609640606e-05,0.000611781460588429,0.538434096309916,0.757529151832707,2.1128958211401,18
"45","AMIT_EGF_RESPONSE_120_HELA",5.89088070092953e-05,0.000438956041132315,0.557332238758646,0.542091689978116,1.96135871719467,63
"46","AMIT_EGF_RESPONSE_120_MCF10A",0.00826313440096732,0.0271109723349894,0.380730400722792,0.50999137422989,1.67775308016243,40
"47","AMIT_EGF_RESPONSE_20_HELA",0.108614232209738,0.202780884084468,0.184706471207739,0.57328538984087,1.43708586670171,12
"48","AMIT_EGF_RESPONSE_20_MCF10A",0.278195488721804,0.430204991695675,0.109684061970549,0.47620363558438,1.16507104125783,11
"49","AMIT_EGF_RESPONSE_240_HELA",0.00031814048565012,0.0018222840203051,0.49849310876659,0.527787355035737,1.85950421926444,56
"50","AMIT_EGF_RESPONSE_240_MCF10A",0.723809523809524,0.872677101854821,0.0583452776743612,0.285744686678477,0.821437847127011,21
"51","AMIT_EGF_RESPONSE_40_HELA",0.0224276722978017,0.0603484133004146,0.352487857583619,0.460880817230836,1.54469504669791,42
"52","AMIT_EGF_RESPONSE_40_MCF10A",0.188931297709924,0.312540604190352,0.138022242496643,0.465378453151847,1.25508069637983,16
"53","AMIT_EGF_RESPONSE_480_HELA",0.0025324914596528,0.0103488879910708,0.431707695803346,0.377924415117419,1.55983812102446,155
"54","AMIT_EGF_RESPONSE_480_MCF10A",0.421903052064632,0.589785932020324,0.0824344091527096,0.30531567888119,1.0233006001002,42
"55","AMIT_EGF_RESPONSE_60_HELA",0.00359600411651815,0.0137088956932295,0.431707695803346,0.513550177328494,1.72348204226966,45
"56","AMIT_EGF_RESPONSE_60_MCF10A",0.000441845341747319,0.00238871374600632,0.49849310876659,0.603947283950747,1.94599447131124,36
"57","AMIT_SERUM_RESPONSE_120_MCF10A",1.06164045376241e-06,1.35198996579355e-05,0.643551836150722,0.596427186548539,2.17437634716984,65
"58","AMIT_SERUM_RESPONSE_20_MCF10A",0.879591836734694,0.976144274439729,0.0524827622635459,-0.258295196993502,-0.699400228396762,14
"59","AMIT_SERUM_RESPONSE_240_MCF10A",0.0493070146032553,0.112275587395235,0.321775918075361,0.409902456309488,1.42729416065636,52
"60","AMIT_SERUM_RESPONSE_40_MCF10A",4.35462416540604e-05,0.000338572028860319,0.557332238758646,0.683841266603176,2.12584859459428,30
"61","AMIT_SERUM_RESPONSE_480_MCF10A",0.00556218664910146,0.019610358537912,0.407017918923954,0.561757276099353,1.7463276555843,30
"62","AMIT_SERUM_RESPONSE_60_MCF10A",0.0120509138397849,0.0367814307227734,0.380730400722792,0.442879112650139,1.5522053361893,55
"63","AMUNDSON_DNA_DAMAGE_RESPONSE_TP53",0.0203616666930182,0.0558056996702433,0.352487857583619,0.63246618945104,1.6720307003011,15
"64","AMUNDSON_RESPONSE_TO_ARSENITE",1.75252200984414e-07,2.67587921348037e-06,0.690132458796796,0.453123478884539,1.94581245121767,203
"65","ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE",6.41855376502024e-06,6.46119833006893e-05,0.610526878385931,0.586362420093097,2.10145319239715,60
"66","ANDERSEN_CHOLANGIOCARCINOMA_CLASS1",0.0518783542039356,0.115941450450475,0.266350657088526,0.393086458992624,1.37769174884097,55
"67","ANDERSEN_CHOLANGIOCARCINOMA_CLASS2",9.3935927030956e-06,9.0994654561626e-05,0.593325476396405,0.452401197526049,1.86723219159841,155
"68","ANDERSEN_LIVER_CANCER_KRT19_DN",0.0072762444060309,0.0244569557424554,0.407017918923954,0.446089759870468,1.64665780553867,68
"69","ANDERSEN_LIVER_CANCER_KRT19_UP",0.451376146788991,0.620090835475692,0.0799858801499946,0.319472755455965,1.01249893384021,33
"70","APPEL_IMATINIB_RESPONSE",4.62476702089611e-05,0.000356759116533618,0.557332238758646,0.662663373966311,2.0950642748758,32
"71","APPIERTO_RESPONSE_TO_FENRETINIDE_DN",0.0259300935112368,0.0677668830419719,0.352487857583619,0.453058719077605,1.52047180761556,45
"72","APPIERTO_RESPONSE_TO_FENRETINIDE_UP",0.0558659217877095,0.122354237154772,0.261663521711573,0.447223374297649,1.43078138353371,35
"73","APRELIKOVA_BRCA1_TARGETS",0.228102189781022,0.365668974339679,0.120985142145252,0.349572332849236,1.17350082098974,44
"74","ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN",0.699443413729128,0.853575202752048,0.0587185879555941,0.262859531937931,0.855286661622864,37
"75","ASTIER_INTEGRIN_SIGNALING",0.985714285714286,1,0.0411544018789903,0.180023325519933,0.629765418090264,54
"76","ASTON_MAJOR_DEPRESSIVE_DISORDER_DN",0.0110107781137584,0.0339398476130404,0.380730400722792,-0.326983080574045,-1.41918860282195,155
"77","ASTON_MAJOR_DEPRESSIVE_DISORDER_UP",0.818181818181818,0.939129052765416,0.0504983044100709,0.238273657216484,0.799037697381319,43
"78","AUNG_GASTRIC_CANCER",0.000964626939055593,0.00459305445840411,0.477270815362862,0.53732996241494,1.82717945054221,47
"79","AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN",0.0617760617760618,0.131400835317853,0.252961123069611,0.532852527133276,1.45514852224305,17
"80","AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP",9.67147676352552e-05,0.000663426071922539,0.538434096309916,0.454803092784012,1.82302868256008,121
"81","AZARE_STAT3_TARGETS",0.0426697286598103,0.100421203672026,0.321775918075361,0.520816491244452,1.53983472647485,24
"82","BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN",0.726943942133816,0.87502785782618,0.0557104226766671,0.25076162413946,0.857810549874998,48
"83","BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP",0.000165685254514391,0.0010470953678348,0.518848077743792,0.715618614205504,2.10286321971425,22
"84","BAELDE_DIABETIC_NEPHROPATHY_DN",8.64303148664109e-14,4.64287936859656e-12,0.954541630725724,0.445723734644375,2.05483343935906,422
"85","BAELDE_DIABETIC_NEPHROPATHY_UP",0.000832729627948086,0.00405990047157198,0.477270815362862,0.477636760958523,1.78514221993356,78
"86","BAE_BRCA1_TARGETS_DN",0.0221899093547832,0.0598995771482019,0.352487857583619,0.516566550787693,1.60584382609901,30
"87","BAE_BRCA1_TARGETS_UP",0.00940045131792924,0.0299049052804528,0.380730400722792,0.435837322172071,1.58470642698306,64
"88","BAKER_HEMATOPOESIS_STAT1_TARGETS",0.000612129709275472,0.00313437994116877,0.477270815362862,0.815661146417659,1.93259680235266,10
"89","BAKER_HEMATOPOIESIS_STAT3_TARGETS",0.00596995402103559,0.0207875417267527,0.407017918923954,0.681130812776251,1.80068381342477,15
"90","BAKKER_FOXO3_TARGETS_DN",0.030859366657478,0.0770122862918508,0.352487857583619,0.324773807329113,1.35806739245188,160
"91","BAKKER_FOXO3_TARGETS_UP",0.00368363282089252,0.0139440014981767,0.431707695803346,0.499863799503036,1.74054258805297,52
"92","BALDWIN_PRKCI_TARGETS_UP",0.00247597190334769,0.010167142443976,0.431707695803346,0.572726536737971,1.81072163263103,32
"93","BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION",0.355805243445693,0.51861203342886,0.0943563635421779,0.435787403970231,1.09241213927688,12
"94","BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN",0.23400365630713,0.373811193597954,0.119348440591015,0.372523777717422,1.17776429013447,32
"95","BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN",0.525862068965517,0.692670299936969,0.0689567351672811,0.238182075571283,0.968300481330557,138
"96","BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP",0.330827067669173,0.490307786018847,0.0988903007520636,0.381124240606188,1.08070310915881,19
"97","BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP",0.4453125,0.61394110184321,0.0840745577910723,0.394583748559877,1.01004125122766,14
"98","BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN",0.186295503211991,0.309828350261654,0.148261500475107,-0.376745540335145,-1.21137094508774,28
"99","BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP",0.0725190839694656,0.147916902718527,0.231126709673834,0.51011691411128,1.4228150738635,18
"100","BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN",0.34504132231405,0.506608280805264,0.102080107662747,-0.381152001116642,-1.08985763858904,17
"101","BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP",0.0155604314035023,0.0448519947138024,0.380730400722792,0.614282318582352,1.71335260272536,18
"102","BARIS_THYROID_CANCER_DN",0.000583447082356303,0.00302685584692133,0.477270815362862,0.513552107589961,1.79990046729098,55
"103","BARIS_THYROID_CANCER_UP",0.988571428571429,1,0.0439759278026345,0.176149010970538,0.520798340080447,24
"104","BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN",0.37218045112782,0.536132200320401,0.0919686140000427,0.349962625869757,1.07716359210104,29
"105","BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP",0.00384199460571594,0.0144325150191834,0.431707695803346,0.576288540678911,1.76135341590439,28
"106","BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN",0.0854870775347912,0.167543330399032,0.216542836735348,0.611764534534559,1.44949184894589,10
"107","BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP",0.202290076335878,0.33084197649286,0.132846300606183,0.49753995689179,1.26742567991889,13
"108","BARRIER_COLON_CANCER_RECURRENCE_DN",0.0929752066115702,0.178315642930142,0.211400189384923,-0.484484067423264,-1.38532307349567,17
"109","BARRIER_COLON_CANCER_RECURRENCE_UP",7.06144609523497e-05,0.000508234896184451,0.538434096309916,0.625148270872321,2.05659250334981,40
"110","BASAKI_YBX1_TARGETS_DN",1.18550746246646e-08,2.41557365369459e-07,0.747739663149885,0.409113061668182,1.85670278307355,365
"111","BASAKI_YBX1_TARGETS_UP",0.000229850284428293,0.00138308078481342,0.518848077743792,0.356396772311478,1.57717632492966,269
"112","BASSO_B_LYMPHOCYTE_NETWORK",0.0531135601026529,0.117899333826663,0.321775918075361,0.330367915754713,1.34464654393729,137
"113","BASSO_CD40_SIGNALING_DN",0.000890028996471584,0.00429320925726579,0.477270815362862,0.491650662038201,1.78764397706814,64
"114","BASSO_CD40_SIGNALING_UP",2.1598891176556e-11,7.87826221989317e-10,0.863415391606693,0.631013980522887,2.44813936122326,99
"115","BASSO_HAIRY_CELL_LEUKEMIA_UP",6.96700139206842e-07,9.20984591179693e-06,0.659444398037935,0.5753950959923,2.14019980752586,76
"116","BAUS_TFF2_TARGETS_DN",0.621722846441948,0.786148438044593,0.0647943366000727,0.342639104199498,0.858912197572505,12
"117","BAUS_TFF2_TARGETS_UP",0.0207556134295105,0.0567013036315199,0.352487857583619,0.539950388542948,1.62925889847206,26
"118","BECKER_TAMOXIFEN_RESISTANCE_DN",0.000969859996591156,0.00461135699236721,0.477270815362862,0.5395454199835,1.84568813105622,48
"119","BECKER_TAMOXIFEN_RESISTANCE_UP",0.000273910393456044,0.00160409961836647,0.49849310876659,0.559031751920649,1.90858142080453,49
"120","BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN",0.000501847530000443,0.00266756678595726,0.477270815362862,0.552276067462246,1.87031277217023,46
"121","BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP",0.0001097558802921,0.000735314622047642,0.538434096309916,0.548064854965169,1.96832643926776,59
"122","BEIER_GLIOMA_STEM_CELL_DN",0.0151682565814103,0.0440871756712019,0.380730400722792,0.421178526594401,1.52387905939765,63
"123","BEIER_GLIOMA_STEM_CELL_UP",0.00876941147475603,0.0282851814434134,0.380730400722792,0.51688052684258,1.68181468254857,37
"124","BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE",0.384615384615385,0.550022339712562,0.0873098257637931,0.307663122837968,1.0419178053718,46
"125","BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.005896658539532,0.0205808359776105,0.407017918923954,0.58654088321302,1.76984214396293,26
"126","BENPORATH_ES_1",0.0016426912837706,0.00725460597593457,0.45505986738723,0.31573031115051,1.43121774895258,350
"127","BENPORATH_ES_2",0.662361623616236,0.820351044633901,0.0610363728309177,0.273608589880016,0.881601453237425,36
"128","BENPORATH_ES_CORE_NINE_CORRELATED",1.0359636905116e-06,1.32214026938078e-05,0.643551836150722,0.538456428335256,2.07879954012824,95
"129","BENPORATH_MYC_TARGETS_WITH_EBOX",0.0684713375796178,0.141814628025924,0.216542836735348,0.291748073701086,1.26068841625115,215
"130","BENPORATH_NOS_TARGETS",4.39064347735757e-05,0.000340923946224782,0.557332238758646,0.42349204656533,1.77647768959475,164
"131","BENPORATH_OCT4_TARGETS",8.16992218431482e-06,7.99272685217157e-05,0.593325476396405,0.394154221663084,1.74612284810161,270
"132","BENPORATH_PROLIFERATION",0.127586206896552,0.231330744569415,0.161978948883402,0.293830540267112,1.19453259817241,138
"133","BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN",0.0114465549947879,0.0351913077337159,0.380730400722792,0.467372481455061,1.58929047996052,47
"134","BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP",0.0278568977230355,0.0713199344217576,0.352487857583619,0.51960315503075,1.57380925842667,27
"135","BERENJENO_TRANSFORMED_BY_RHOA_DN",2.2940732715787e-08,4.35873921599954e-07,0.73376198835648,0.402897027060912,1.83030732968795,373
"136","BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN",0.000513062300089288,0.00271900011769292,0.477270815362862,0.641540494804022,1.94314133892902,27
"137","BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP",0.0207083975462279,0.0566246742714766,0.352487857583619,0.583167435266315,1.66662851672524,20
"138","BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN",0.00215264897858874,0.00904051372742064,0.431707695803346,0.594976536765218,1.81847092461669,28
"139","BERNARD_PPAPDC1B_TARGETS_DN",0.00790888117380589,0.0260935672004573,0.380730400722792,0.468147530443264,1.63769402873786,54
"140","BERNARD_PPAPDC1B_TARGETS_UP",0.972324723247233,1,0.0432768714901103,0.18577620379939,0.598594405673799,36
"141","BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN",0.000479081783031629,0.00255957889324946,0.49849310876659,0.569988893222434,1.91038330760582,42
"142","BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP",0.943396226415094,1,0.0504983044100709,-0.210467608830904,-0.626961950425862,21
"143","BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN",0.0170454724035844,0.0483408446426841,0.352487857583619,0.33260978321834,1.39084663670453,159
"144","BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP",5.1753737287665e-06,5.41261652447455e-05,0.610526878385931,0.43020821121055,1.83522479768991,193
"145","BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN",0.0106610877196619,0.0330863273820811,0.380730400722792,0.372144449380861,1.48436565253695,116
"146","BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP",0.00145536327069552,0.00653880017584972,0.45505986738723,0.416063187647003,1.6458082692361,107
"147","BHATTACHARYA_EMBRYONIC_STEM_CELL",1.9745706873242e-05,0.000171584385167628,0.575610261071129,0.541683352315258,2.02451297951308,78
"148","BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN",0.034655293039641,0.0848645364986484,0.321775918075361,0.382658687009579,1.44808507481324,82
"149","BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP",0.000787308756160497,0.00388654137972106,0.477270815362862,0.371781781649093,1.59384679686082,199
"150","BHAT_ESR1_TARGETS_VIA_AKT1_DN",0.18694885361552,0.310478014618918,0.132846300606183,0.315252424189647,1.17823931982952,78
"151","BHAT_ESR1_TARGETS_VIA_AKT1_UP",0.0107097946525275,0.0331852001058127,0.380730400722792,0.310282926005632,1.36675048422735,259
"152","BIDUS_METASTASIS_DN",1.78644072705258e-05,0.000157553406808264,0.575610261071129,0.456946509930083,1.85766088588475,138
"153","BIDUS_METASTASIS_UP",0.0894308943089431,0.173431950926007,0.190023305279108,0.286453394191779,1.22821526881194,206
"154","BILANGES_RAPAMYCIN_SENSITIVE_GENES",1,1,0.0419926218968594,0.129278378560711,0.416551272974583,36
"155","BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2",0.995327102803738,1,0.0530212512043078,-0.156668734591206,-0.591221234423928,65
"156","BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES",0.054006968641115,0.119255298094301,0.257206466468838,0.371842101276961,1.35561337265225,65
"157","BILANGES_SERUM_RESPONSE_TRANSLATION",0.221206581352834,0.355869776535228,0.123257226381337,0.376197673359068,1.1893796106891,32
"158","BILANGES_SERUM_SENSITIVE_GENES",1,1,0.0522693317499306,-0.151201037260171,-0.582921271681283,75
"159","BILANGES_SERUM_SENSITIVE_VIA_TSC1",0.231422505307856,0.370388836366229,0.130777137971974,-0.401208015918719,-1.17405533428431,20
"160","BILANGES_SERUM_SENSITIVE_VIA_TSC2",0.191806331471136,0.316676058302024,0.135002033828631,0.405079624713392,1.22229670939762,26
"161","BILBAN_B_CLL_LPL_DN",0.000131566935360681,0.000855367091858569,0.518848077743792,0.614772143635074,2.02245745653899,40
"162","BILBAN_B_CLL_LPL_UP",0.00413340821118739,0.01535154564419,0.407017918923954,0.465952090535884,1.64164576900084,56
"163","BILD_CTNNB1_ONCOGENIC_SIGNATURE",0.00673725190151736,0.0229454878882225,0.407017918923954,0.428686553229629,1.59317301763333,75
"164","BILD_E2F3_ONCOGENIC_SIGNATURE",0.538961038961039,0.706146514239641,0.0647943366000727,0.223157220376815,0.966373710639408,230
"165","BILD_HRAS_ONCOGENIC_SIGNATURE",1.87431892531804e-12,8.51950040746483e-11,0.898671232061694,0.510481134217499,2.21289074267941,228
"166","BILD_MYC_ONCOGENIC_SIGNATURE",0.415857605177994,0.584292046482316,0.0776798560117236,0.238771140866973,1.01357231245635,184
"167","BILD_SRC_ONCOGENIC_SIGNATURE",0.0212769077176454,0.0579112149717028,0.352487857583619,0.425210081585833,1.49027881150134,55
"168","BIOCARTA_41BB_PATHWAY",0.0502121037753206,0.113505478656606,0.321775918075361,0.598160594439968,1.58133809252646,15
"169","BIOCARTA_ACE2_PATHWAY",0.426691729323308,0.594791561352071,0.0843144320642653,0.422111195934319,1.03272947500764,11
"170","BIOCARTA_ACH_PATHWAY",0.38671875,0.552495428856383,0.0919686140000427,0.416375025119531,1.06582177519118,14
"171","BIOCARTA_ACTINY_PATHWAY",0.985042735042735,1,0.0493910105981501,-0.189611411003468,-0.484809182253602,12
"172","BIOCARTA_AGPCR_PATHWAY",0.833667334669339,0.949159976986729,0.0541200569620232,-0.297980339588919,-0.726518690176074,10
"173","BIOCARTA_AGR_PATHWAY",0.575868372943327,0.743457770531379,0.0673623868166279,0.295584465494425,0.934514382708452,32
"174","BIOCARTA_AHSP_PATHWAY",0.054291650129595,0.119794384098498,0.321775918075361,-0.592533394122466,-1.51502290258897,12
"175","BIOCARTA_AKAP13_PATHWAY",0.987975951903808,1,0.0463227785794633,-0.208722073279714,-0.508894269666278,10
"176","BIOCARTA_AKAP95_PATHWAY",0.725646123260437,0.874014738655114,0.0602484086158019,0.328263869613429,0.777776050176086,10
"177","BIOCARTA_AKAPCENTROSOME_PATHWAY",0.930962343096234,1,0.051011413203915,-0.236450736450736,-0.620562367368666,13
"178","BIOCARTA_AKT_PATHWAY",0.0163856751380647,0.0467292250920967,0.352487857583619,0.578738740549737,1.66371564284272,21
"179","BIOCARTA_ALK_PATHWAY",0.000117929348445162,0.00077772825888668,0.538434096309916,0.63368718593119,2.01882056649084,34
"180","BIOCARTA_AMAN_PATHWAY",0.433206106870229,0.602139945652174,0.0843144320642653,0.403623759697481,1.02818499495359,13
"181","BIOCARTA_AMI_PATHWAY",0.0289792297400519,0.0735130027201136,0.352487857583619,0.59884479788665,1.61502652489538,16
"182","BIOCARTA_ARAP_PATHWAY",0.932432432432432,1,0.0472587336673259,0.231878222833793,0.633228212526699,17
"183","BIOCARTA_ARENRF2_PATHWAY",0.0392822694297357,0.0941658945477925,0.321775918075361,0.544831148361317,1.54490492408495,19
"184","BIOCARTA_ARF_PATHWAY",0.0598455598455598,0.128451657510866,0.257206466468838,0.536074201943076,1.4639464824664,17
"185","BIOCARTA_ASBCELL_PATHWAY",3.54668410991826e-05,0.000284424726683124,0.557332238758646,0.841168133330689,2.05798645734791,11
"186","BIOCARTA_AT1R_PATHWAY",0.597353497164461,0.760396771810599,0.0672065093710464,0.299077243760062,0.905865429524693,27
"187","BIOCARTA_ATM_PATHWAY",0.0770676691729323,0.155053747750377,0.222056046145248,0.506454156876144,1.43608441465679,19
"188","BIOCARTA_ATRBRCA_PATHWAY",0.35047619047619,0.512234432234432,0.096240602328129,0.374168727853623,1.07563278898751,21
"189","BIOCARTA_BAD_PATHWAY",0.422429906542056,0.590243158608893,0.0845557442441281,0.350095339793217,1.02876392373033,22
"190","BIOCARTA_BARRESTIN_PATHWAY",0.229787234042553,0.36803071364047,0.131457611642763,-0.483716041430388,-1.1961905823993,11
"191","BIOCARTA_BARRESTIN_SRC_PATHWAY",0.557251908396947,0.723851731527271,0.0711327399327894,0.337974074715501,0.911483404913578,16
