PeakID (cmd=annotatePeaks.pl results/reproducible_peaks_filtered.bed hg38 -gtf results/gencode.v45.primary_assembly.annotation.gtf -go results/go_analysis)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rep3_peak_3921	chr10	86400099	86400099	+	40.3169	NA	promoter-TSS (ENST00000656749.1)	lncRNA-promoter-TSS (ENST00000656749.1)	36	ENST00000656749.1	ENSG00000287475	ENST00000656749			ENSG00000287475			lncRNA
rep3_peak_31	GL000216.2	173857	173857	+	38.7187	NA	Intergenic	Intergenic	-80548	ENST00000611062.1	ENSG00000274202	ENST00000611062			U2			snRNA
rep3_peak_25236	chr7	66628808	66628808	+	38.6659	NA	promoter-TSS (ENST00000275532.8)	protein_coding-promoter-TSS (ENST00000275532.8)	-73	ENST00000639828.2	ENSG00000243335	ENST00000640234			KCTD7			protein_coding
rep3_peak_20045	chr4	131348476	131348476	+	38.1039	NA	Intergenic	Intergenic	-31241	ENST00000652848.1	ENSG00000250102	ENST00000505436			LINC02377			lncRNA
rep3_peak_6759	chr12	77065609	77065609	+	37.3845	NA	promoter-TSS (ENST00000322886.12)	protein_coding-promoter-TSS (ENST00000322886.12)	-40	ENST00000322886.12	ENSG00000165891	ENST00000550669			E2F7			protein_coding
rep3_peak_13658	chr2	85595666	85595666	+	37.3704	NA	promoter-TSS (ENST00000306368.9)	protein_coding-promoter-TSS (ENST00000306368.9)	-59	ENST00000461845.1	ENSG00000168894	ENST00000441634			RNF181			protein_coding
rep3_peak_13447	chr2	63588800	63588800	+	36.7143	NA	promoter-TSS (ENST00000233114.13)	protein_coding-promoter-TSS (ENST00000233114.13)	-1	ENST00000431065.1	ENSG00000143951	ENST00000473678			WDPCP			protein_coding
rep3_peak_11537	chr18	31943129	31943129	+	36.6906	NA	promoter-TSS (ENST00000283351.10)	protein_coding-promoter-TSS (ENST00000283351.10)	-1	ENST00000283351.10	ENSG00000153339	ENST00000584876			TRAPPC8			protein_coding
rep3_peak_29815	chrX	109537108	109537108	+	35.9278	NA	promoter-TSS (ENST00000372103.1)	protein_coding-promoter-TSS (ENST00000372103.1)	-10	ENST00000372103.1	ENSG00000101888	ENST00000372107			NXT2			protein_coding
rep3_peak_25250	chr7	68736608	68736608	+	35.8654	NA	Intergenic	Intergenic	-12560	ENST00000410496.1	ENSG00000222428	ENST00000410496			RNA5SP231			rRNA_pseudogene
rep3_peak_6730	chr12	75511689	75511689	+	35.6901	NA	promoter-TSS (ENST00000229214.9)	protein_coding-promoter-TSS (ENST00000229214.9)	-53	ENST00000550898.1	ENSG00000111615	ENST00000550023			KRR1			protein_coding
rep3_peak_16300	chr21	39183573	39183573	+	35.0389	NA	promoter-TSS (ENST00000331573.8)	protein_coding-promoter-TSS (ENST00000331573.8)	-85	ENST00000380900.2	ENSG00000183527	ENST00000380900			PSMG1			protein_coding
rep3_peak_4313	chr10	119597136	119597136	+	34.4773	NA	promoter-TSS (ENST00000369093.6)	protein_coding-promoter-TSS (ENST00000369093.6)	-107	ENST00000497671.5	ENSG00000151923	ENST00000489822			TIAL1			protein_coding
rep3_peak_24260	chr6	145372761	145372761	+	34.0666	NA	Intergenic	Intergenic	76216	ENST00000648178.1	ENSG00000285598	ENST00000648178			ENSG00000285598			lncRNA
rep3_peak_28921	chr9	122940898	122940898	+	33.7854	NA	promoter-TSS (ENST00000317419.7)	protein_coding-promoter-TSS (ENST00000317419.7)	65	ENST00000456584.5	ENSG00000011454	ENST00000459903			RABGAP1			protein_coding
rep3_peak_23639	chr6	95203337	95203337	+	33.7114	NA	Intergenic	Intergenic	-300845	ENST00000407870.1	ENSG00000219627	ENST00000407870			CYCSP17			processed_pseudogene
rep3_peak_14970	chr2	209380480	209380480	+	32.2482	NA	intron (ENST00000650878.1, intron 1 of 2)	lncRNA-intron (ENST00000650878.1, intron 1 of 2)	6842	ENST00000650878.1	ENSG00000286249	ENST00000650878			ENSG00000286249			lncRNA
rep3_peak_26717	chr8	54135144	54135144	+	31.8411	NA	promoter-TSS (ENST00000260102.9)	protein_coding-promoter-TSS (ENST00000260102.9)	-97	ENST00000260102.9	ENSG00000137547	ENST00000519831			MRPL15			protein_coding
rep3_peak_21880	chr5	124748907	124748907	+	30.9469	NA	promoter-TSS (ENST00000509799.5)	protein_coding-promoter-TSS (ENST00000509799.5)	-100	ENST00000509799.5	ENSG00000168916	ENST00000504926			ZNF608			protein_coding
rep3_peak_17575	chr3	98188710	98188710	+	30.7614	NA	Intergenic	Intergenic	-2649	ENST00000689432.1	ENSG00000289078	ENST00000689432			ENSG00000289078			lncRNA
rep3_peak_6560	chr12	57520612	57520612	+	30.5222	NA	promoter-TSS (ENST00000346473.8)	protein_coding-promoter-TSS (ENST00000346473.8)	-95	ENST00000551116.5	ENSG00000175197	ENST00000346473			DDIT3			protein_coding
rep3_peak_18001	chr3	133805806	133805806	+	30.4166	NA	promoter-TSS (ENST00000494297.5)	protein_coding-promoter-TSS (ENST00000494297.5)	-9	ENST00000678299.1	ENSG00000144867	ENST00000678299			SRPRB			protein_coding
rep3_peak_14447	chr2	168456206	168456206	+	30.2005	NA	promoter-TSS (ENST00000305747.11)	protein_coding-promoter-TSS (ENST00000305747.11)	-43	ENST00000392687.4	ENSG00000172292	ENST00000392687			CERS6			protein_coding
rep3_peak_29335	chrX	24054303	24054303	+	30.011	NA	promoter-TSS (ENST00000253039.9)	protein_coding-promoter-TSS (ENST00000253039.9)	-643	ENST00000487075.1	ENSG00000130741	ENST00000487075			EIF2S3			protein_coding
rep3_peak_18549	chr3	183099619	183099619	+	29.8263	NA	promoter-TSS (ENST00000265594.9)	protein_coding-promoter-TSS (ENST00000265594.9)	-42	ENST00000629669.2	ENSG00000078070	ENST00000629669			MCCC1			protein_coding
rep3_peak_27032	chr8	79645746	79645746	+	29.5797	NA	intron (ENST00000518491.1, intron 3 of 4)	protein_coding-intron (ENST00000220876.12, intron 3 of 4)	34011	ENST00000518491.1	ENSG00000104435	ENST00000518491			STMN2			protein_coding
rep3_peak_16612	chr3	278808	278808	+	29.5586	NA	intron (ENST00000453040.5, intron 2 of 24)	protein_coding-intron (ENST00000256509.7, intron 2 of 27)	3984	ENST00000516208.1	ENSG00000252017	ENST00000516208			RNU6-1194P			snRNA
rep3_peak_23511	chr6	82067177	82067177	+	29.2216	NA	intron (ENST00000666226.1, intron 1 of 3)	lncRNA-intron (ENST00000660637.1, intron 1 of 2)	34588	ENST00000666226.1	ENSG00000226453	ENST00000665153			LINC02542			lncRNA
rep3_peak_28024	chr9	19451855	19451855	+	28.7206	NA	exon (ENST00000340967.3, exon 6 of 6)	protein_coding-exon (ENST00000340967.3, exon 6 of 6)	-1354	ENST00000563205.1	ENSG00000260912	ENST00000563205			ENSG00000260912			lncRNA
rep3_peak_15548	chr20	10034903	10034903	+	28.6486	NA	promoter-TSS (ENST00000378380.4)	protein_coding-promoter-TSS (ENST00000378380.4)	-84	ENST00000378392.6	ENSG00000132623	ENST00000378380			ANKEF1			protein_coding
rep3_peak_14001	chr2	129348050	129348050	+	28.4657	NA	Intergenic	Intergenic	-74202	ENST00000375987.3	ENSG00000204460	ENST00000375987			LINC01854			lncRNA
rep3_peak_26387	chr8	17734432	17734432	+	27.933	NA	promoter-TSS (ENST00000518138.5)	protein_coding-promoter-TSS (ENST00000518138.5)	-185	ENST00000518138.5	ENSG00000129422	ENST00000381869			MTUS1			protein_coding
rep3_peak_4007	chr10	94362968	94362968	+	27.7471	NA	promoter-TSS (ENST00000371361.3)	protein_coding-promoter-TSS (ENST00000371361.3)	-9	ENST00000461562.1	ENSG00000173145	ENST00000371361			NOC3L			protein_coding
rep3_peak_3660	chr10	62456747	62456747	+	27.5902	NA	intron (ENST00000647733.1, intron 3 of 7)	protein_coding-intron (ENST00000395255.7, intron 3 of 4)	-63701	ENST00000395251.5	ENSG00000285551	ENST00000461412			LINC02929			lncRNA
rep3_peak_20120	chr4	140556870	140556870	+	26.8365	NA	Intergenic	Intergenic	12091	ENST00000262999.4	ENSG00000109424	ENST00000262999			UCP1			protein_coding
rep3_peak_881	chr1	70504604	70504604	+	26.7222	NA	Intergenic	Intergenic	-25922	ENST00000456361.1	ENSG00000233020	ENST00000456361			CHORDC1P5			processed_pseudogene
rep3_peak_25120	chr7	48251945	48251945	+	26.6344	NA	intron (ENST00000435803.6, intron 15 of 61)	protein_coding-intron (ENST00000417403.5, intron 16 of 17)	-27331	ENST00000544596.5	ENSG00000179869	ENST00000484268			ABCA13			protein_coding
rep3_peak_13169	chr2	37005411	37005411	+	26.5922	NA	intron (ENST00000233099.6, intron 30 of 35)	protein_coding-intron (ENST00000233099.6, intron 30 of 35)	8584	ENST00000471051.1	ENSG00000008869	ENST00000467978			HEATR5B			protein_coding
rep3_peak_27800	chr8	144147847	144147847	+	26.5675	NA	promoter-TSS (ENST00000326134.10)	protein_coding-promoter-TSS (ENST00000326134.10)	-169	ENST00000326134.10	ENSG00000179832	ENST00000528664			MROH1			protein_coding
rep3_peak_13887	chr2	112584579	112584579	+	26.3874	NA	promoter-TSS (ENST00000324913.10)	protein_coding-promoter-TSS (ENST00000324913.10)	-16	ENST00000409719.1	ENSG00000125611	ENST00000489052			CHCHD5			protein_coding
rep3_peak_11608	chr18	40738537	40738537	+	26.1329	NA	Intergenic	Intergenic	492658	ENST00000667705.1	ENSG00000286844	ENST00000667705			ENSG00000286844			lncRNA
rep3_peak_25421	chr7	87219808	87219808	+	26.1236	NA	promoter-TSS (ENST00000257637.8)	protein_coding-promoter-TSS (ENST00000257637.8)	-76	ENST00000257637.8	ENSG00000135185	ENST00000465976			TMEM243			protein_coding
rep3_peak_13909	chr2	113979745	113979745	+	25.9522	NA	promoter-TSS (ENST00000420161.1)	lncRNA-promoter-TSS (ENST00000420161.1)	-164	ENST00000420161.1	ENSG00000243179	ENST00000420161			ENSG00000243179			lncRNA
rep3_peak_30074	chrX	149573651	149573651	+	25.9286	NA	Intergenic	Intergenic	13232	ENST00000594744.1	ENSG00000267978	ENST00000594744			MAGEA9B			protein_coding
rep3_peak_8273	chr14	22919381	22919381	+	25.7952	NA	promoter-TSS (ENST00000307814.10)	protein_coding-promoter-TSS (ENST00000307814.10)	-199	ENST00000399922.6	ENSG00000100461	ENST00000399922			RBM23			protein_coding
rep3_peak_8444	chr14	49862876	49862876	+	25.4585	NA	promoter-TSS (ENST00000490232.3)	misc_RNA-promoter-TSS (ENST00000490232.3)	-12	ENST00000655317.1	ENSG00000282885	ENST00000635177			ENSG00000282885			lncRNA
rep3_peak_10257	chr16	68448594	68448594	+	25.2103	NA	promoter-TSS (ENST00000219334.10)	protein_coding-promoter-TSS (ENST00000219334.10)	-86	ENST00000219334.10	ENSG00000103056	ENST00000566009			SMPD3			protein_coding
rep3_peak_16761	chr3	12395544	12395544	+	25.1102	NA	intron (ENST00000681966.1, intron 5 of 6)	protein_coding-intron (ENST00000287820.10, intron 4 of 6)	-9764	ENST00000682125.1	ENSG00000132170	ENST00000683699			PPARG			protein_coding
rep3_peak_19502	chr4	80540982	80540982	+	25.0367	NA	intron (ENST00000514249.5, intron 3 of 4)	protein_coding-intron (ENST00000358105.8, intron 2 of 5)	-152266	ENST00000506637.2	ENSG00000232327	ENST00000506637			ENSG00000232327			processed_pseudogene
rep3_peak_18316	chr3	160671452	160671452	+	24.8317	NA	Intergenic	Intergenic	-5708	ENST00000320767.4	ENSG00000179674	ENST00000320767			ARL14			protein_coding
rep3_peak_19031	chr4	25312694	25312694	+	24.7827	NA	promoter-TSS (ENST00000302874.9)	protein_coding-promoter-TSS (ENST00000302874.9)	-80	ENST00000302874.9	ENSG00000168228	ENST00000507760			ZCCHC4			protein_coding
rep3_peak_24097	chr6	134174932	134174932	+	24.6593	NA	promoter-TSS (ENST00000237305.12)	protein_coding-promoter-TSS (ENST00000237305.12)	-64	ENST00000534658.5	ENSG00000118515	ENST00000477460			SGK1			protein_coding
rep3_peak_8327	chr14	30270886	30270886	+	24.4627	NA	intron (ENST00000508469.2, intron 1 of 3)	lncRNA-intron (ENST00000508469.2, intron 1 of 3)	26131	ENST00000549360.1	ENSG00000248975	ENST00000548124			ENSG00000248975			lncRNA
rep3_peak_21420	chr5	86565442	86565442	+	24.3904	NA	Intergenic	Intergenic	-52486	ENST00000511472.5	ENSG00000127184	ENST00000510447			COX7C			protein_coding
rep3_peak_8697	chr14	73950229	73950229	+	24.1825	NA	promoter-TSS (ENST00000286544.5)	protein_coding-promoter-TSS (ENST00000286544.5)	10	ENST00000553462.6	ENSG00000119723	ENST00000394026			COQ6			protein_coding
rep3_peak_14724	chr2	190319816	190319816	+	24.1558	NA	promoter-TSS (ENST00000359678.10)	protein_coding-promoter-TSS (ENST00000359678.10)	10	ENST00000359678.10	ENSG00000198130	ENST00000414928			HIBCH			protein_coding
rep3_peak_20766	chr5	8950124	8950124	+	23.4637	NA	Intergenic	Intergenic	30535	ENST00000624494.1	ENSG00000279635	ENST00000624494			ENSG00000279635			TEC
rep3_peak_16930	chr3	25460910	25460910	+	22.8366	NA	promoter-TSS (ENST00000691580.1)	protein_coding-promoter-TSS (ENST00000691580.1)	-283	ENST00000691580.1	ENSG00000077092	ENST00000330688			RARB			protein_coding
rep3_peak_20229	chr4	147800065	147800065	+	22.7303	NA	intron (ENST00000510379.1, intron 1 of 4)	protein_coding-intron (ENST00000336498.8, intron 1 of 22)	-8861	ENST00000460609.3	ENSG00000240014	ENST00000460609			RN7SL254P			misc_RNA
rep3_peak_24468	chr6	160399138	160399138	+	22.6091	NA	intron (ENST00000275300.3, intron 2 of 10)	protein_coding-intron (ENST00000275300.3, intron 2 of 10)	-12204	ENST00000663900.1	ENSG00000287656	ENST00000663900			ENSG00000287656			lncRNA
rep3_peak_27741	chr8	140511784	140511784	+	22.3448	NA	promoter-TSS (ENST00000518971.1)	protein_coding-promoter-TSS (ENST00000518971.1)	-134	ENST00000518971.1	ENSG00000104472	ENST00000220913			CHRAC1			protein_coding
rep3_peak_4661	chr11	15208804	15208804	+	22.2822	NA	intron (ENST00000530161.5, intron 6 of 11)	protein_coding-intron (ENST00000379554.7, intron 7 of 12)	20616	ENST00000447214.6	ENSG00000188487	ENST00000526102			INSC			protein_coding
rep3_peak_841	chr1	66758309	66758309	+	22.0087	NA	intron (ENST00000491611.1, intron 3 of 4)	protein_coding-intron (ENST00000282670.7, intron 2 of 4)	5777	ENST00000491611.1	ENSG00000152760	ENST00000282670			DYNLT5			protein_coding
rep3_peak_18381	chr3	168715070	168715070	+	21.8486	NA	intron (ENST00000506760.2, intron 3 of 6)	transcribed_unitary_pseudogene-intron (ENST00000431685.2, intron 6 of 11)	48511	ENST00000432315.1	ENSG00000226765	ENST00000432315			RPSAP33			processed_pseudogene
rep3_peak_769	chr1	61641885	61641885	+	21.728	NA	Intergenic	Intergenic	-12309	ENST00000416440.2	ENSG00000223920	ENST00000416440			ENSG00000223920			processed_pseudogene
rep3_peak_16814	chr3	16309744	16309744	+	21.6545	NA	intron (ENST00000606098.1, intron 9 of 9)	protein_coding-intron (ENST00000435829.6, intron 9 of 9)	-4695	ENST00000607464.1	ENSG00000271964	ENST00000607464			ENSG00000271964			lncRNA
rep3_peak_8314	chr14	24665706	24665706	+	21.4919	NA	Intergenic	Intergenic	-31439	ENST00000382540.5	ENSG00000100453	ENST00000530830			GZMB			protein_coding
rep3_peak_9625	chr15	94306987	94306987	+	21.3855	NA	intron (ENST00000561608.5, intron 3 of 3)	protein_coding-intron (ENST00000357742.10, intron 2 of 22)	8721	ENST00000451018.7	ENSG00000140563	ENST00000557742			MCTP2			protein_coding
rep3_peak_13083	chr2	27370437	27370437	+	21.1727	NA	promoter-TSS (ENST00000233575.7)	protein_coding-promoter-TSS (ENST00000233575.7)	-59	ENST00000537606.5	ENSG00000115234	ENST00000440760			SNX17			protein_coding
rep3_peak_4329	chr10	121449330	121449330	+	21.1007	NA	Intergenic	Intergenic	31155	ENST00000467584.1	ENSG00000066468	ENST00000358487			FGFR2			protein_coding
rep3_peak_27070	chr8	81154274	81154274	+	20.8025	NA	promoter-TSS (ENST00000519412.2)	lncRNA-promoter-TSS (ENST00000519412.2)	-2	ENST00000521953.2	ENSG00000253214	ENST00000521953			ENSG00000253214			lncRNA
rep3_peak_21964	chr5	131396166	131396166	+	20.6881	NA	promoter-TSS (ENST00000502639.1)	protein_coding-promoter-TSS (ENST00000502639.1)	-240	ENST00000502639.1	ENSG00000158985	ENST00000504701			CDC42SE2			protein_coding
rep3_peak_29433	chrX	42934543	42934543	+	20.3918	NA	Intergenic	Intergenic	-65631	ENST00000605596.1	ENSG00000270280	ENST00000605596			SMIM15P1			processed_pseudogene
rep3_peak_24848	chr7	23532013	23532013	+	20.3231	NA	promoter-TSS (ENST00000297071.9)	protein_coding-promoter-TSS (ENST00000297071.9)	10	ENST00000448549.1	ENSG00000164548	ENST00000475970			TRA2A			protein_coding
rep3_peak_11246	chr17	75905087	75905087	+	20.3126	NA	promoter-TSS (ENST00000309352.4)	protein_coding-promoter-TSS (ENST00000309352.4)	6	ENST00000410030.1	ENSG00000204316	ENST00000461602			MRPL38			protein_coding
rep3_peak_19586	chr4	86939831	86939831	+	20.2857	NA	intron (ENST00000511442.1, intron 1 of 3)	protein_coding-intron (ENST00000395146.9, intron 1 of 20)	3421	ENST00000511442.1	ENSG00000172493	ENST00000514970			AFF1			protein_coding
rep3_peak_28718	chr9	104764317	104764317	+	20.0453	NA	intron (ENST00000461177.1, intron 1 of 5)	protein_coding-intron (ENST00000374762.4, intron 1 of 5)	122	ENST00000461177.1	ENSG00000165028	ENST00000461177			NIPSNAP3B			protein_coding
rep3_peak_17618	chr3	100607377	100607377	+	19.8282	NA	Intergenic	Intergenic	-2224	ENST00000273352.8	ENSG00000144820	ENST00000273352			ADGRG7			protein_coding
rep3_peak_12985	chr2	17822721	17822721	+	19.7252	NA	Intergenic	Intergenic	6261	ENST00000281047.4	ENSG00000151379	ENST00000281047			MSGN1			protein_coding
rep3_peak_9886	chr16	14833738	14833738	+	19.6648	NA	promoter-TSS (ENST00000287667.12)	protein_coding-promoter-TSS (ENST00000287667.12)	17	ENST00000287667.12	ENSG00000103512	ENST00000566883			NOMO1			protein_coding
rep3_peak_6202	chr12	25195248	25195248	+	19.5005	NA	promoter-TSS (ENST00000320267.13)	protein_coding-promoter-TSS (ENST00000320267.13)	11	ENST00000381356.9	ENSG00000205707	ENST00000556402			ETFRF1			protein_coding
rep3_peak_29309	chrX	20320927	20320927	+	19.4033	NA	Intergenic	Intergenic	-3144	ENST00000636738.1	ENSG00000283631	ENST00000636738			ENSG00000283631			lncRNA
rep3_peak_4476	chr11	2902260	2902260	+	19.2928	NA	promoter-TSS (ENST00000380574.5)	protein_coding-promoter-TSS (ENST00000380574.5)	-18	ENST00000649076.2	ENSG00000110628	ENST00000485423			SLC22A18			protein_coding
rep3_peak_21426	chr5	87020335	87020335	+	19.1455	NA	intron (ENST00000503349.1, intron 1 of 2)	lncRNA-intron (ENST00000503349.1, intron 1 of 2)	38359	ENST00000655245.1	ENSG00000233828	ENST00000662995			MIR4280HG			lncRNA
rep3_peak_10454	chr16	85689052	85689052	+	18.8726	NA	promoter-TSS (ENST00000253462.8)	protein_coding-promoter-TSS (ENST00000253462.8)	-98	ENST00000253462.8	ENSG00000131153	ENST00000596233			GINS2			protein_coding
rep3_peak_27241	chr8	98071285	98071285	+	18.3124	NA	intron (ENST00000545282.1, intron 1 of 1)	protein_coding-intron (ENST00000318528.8, intron 1 of 2)	6717	ENST00000318528.8	ENSG00000177459	ENST00000318528			ERICH5			protein_coding
rep3_peak_261	chr1	11012587	11012587	+	18.0179	NA	promoter-TSS (ENST00000240185.8)	protein_coding-promoter-TSS (ENST00000240185.8)	-35	ENST00000629725.2	ENSG00000120948	ENST00000473869			TARDBP			protein_coding
rep3_peak_8803	chr14	89619162	89619162	+	17.7378	NA	promoter-TSS (ENST00000345097.8)	protein_coding-promoter-TSS (ENST00000345097.8)	-13	ENST00000555353.5	ENSG00000053254	ENST00000554005			FOXN3			protein_coding
rep3_peak_15602	chr20	15333078	15333078	+	17.2529	NA	intron (ENST00000684519.1, intron 6 of 17)	protein_coding-intron (ENST00000217246.8, intron 6 of 16)	-52205	ENST00000410568.1	ENSG00000222500	ENST00000410568			RNA5SP475			rRNA_pseudogene
rep3_peak_29655	chrX	74781665	74781665	+	17.1306	NA	intron (ENST00000642681.2, intron 1 of 2)	protein_coding-intron (ENST00000055682.12, intron 1 of 3)	12026	ENST00000603662.1	ENSG00000271589	ENST00000603662			ENSG00000271589			processed_pseudogene
rep3_peak_12516	chr19	40570673	40570673	+	17.0432	NA	promoter-TSS (ENST00000593816.1)	protein_coding-promoter-TSS (ENST00000593816.1)	-366	ENST00000599926.5	ENSG00000160460	ENST00000598775			SPTBN4			protein_coding
rep3_peak_28417	chr9	71549189	71549189	+	16.9578	NA	Intergenic	Intergenic	3459	ENST00000691794.1	ENSG00000289163	ENST00000691794			ENSG00000289163			lncRNA
rep3_peak_23638	chr6	95091985	95091985	+	16.843	NA	Intergenic	Intergenic	-356047	ENST00000689670.1	ENSG00000289178	ENST00000689670			ENSG00000289178			lncRNA
